iter	Passed	Remaining
0	0	40
1	0	35
2	1	33
3	1	31
4	1	30
5	1	29
6	2	29
7	2	28
8	2	28
9	3	27
10	3	27
11	3	27
12	4	26
13	4	26
14	4	26
15	4	25
16	5	25
17	5	25
18	5	24
19	6	24
20	6	24
21	6	23
22	6	23
23	7	23
24	7	22
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	11	18
37	11	18
38	11	18
39	12	18
40	12	17
41	12	17
42	12	17
43	13	16
44	13	16
45	13	16
46	13	15
47	14	15
48	14	15
49	14	14
50	15	14
51	15	14
52	15	14
53	16	13
54	16	13
55	16	13
56	16	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	10
63	19	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	21	8
71	21	8
72	21	8
73	21	7
74	22	7
75	22	7
76	22	6
77	23	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	26	3
88	26	3
89	26	2
90	27	2
91	27	2
92	27	2
93	27	1
94	28	1
95	28	1
96	29	0
97	29	0
98	29	0
99	30	0
